id,utc_date,white,black,white_elo,black_elo,opening,cp_10,cp_11,cp_12,cp_13,cp_14,avg_opening_cp
1,2015.06.01,johnsama,vaske87,1559,1721,Owen Defense,35,48,47,50,276,91.2
2,2015.05.31,tropik,Drugon,1827,1915,Sicilian Defense,-2,13,-36,-43,56,-2.4
3,2015.05.31,blabla4u,erichon,1500,1442,Modern Defense,0,13,15,1,71,20.0
4,2015.05.31,jdefreitas,steve_mcqueen,2107,2100,Caro-Kann Defense: Breyer Variation,146,134,30,484,538,266.4
5,2015.05.31,mym56,jalrivi1952,1746,1672,Modern Defense: Standard Defense,122,171,207,386,222,221.6
6,2015.05.31,satoshi,Luminosity,1829,1860,Slav Defense: Three Knights Variation,67,16,31,2,62,35.6
7,2015.05.31,regulus-eclipse,Kingscrusher-YouTube,2170,2185,Queen's Pawn Game: Zukertort Variation,-5,-277,-283,-135,-93,-158.6
8,2015.05.31,GunganAttack,Singularitus,1802,1809,Semi-Slav Defense: Quiet Variation,-78,-65,-205,-211,-262,-164.2
9,2015.05.31,david_villa,Spoturnovsky,2051,2009,Trompowsky Attack,74,73,129,150,94,104.0
10,2015.05.31,aiadiv,RobertTonoyan,1767,1781,King's Pawn Game: Leonardis Variation,139,151,167,350,419,245.2
11,2015.05.31,Rafael_Federer,sazatol,1416,1618,"French Defense: Classical Variation, Steinitz Variation",-154,-279,-227,-210,-40,-182.0
12,2015.05.31,NMgornys,ZePequeno,1924,1962,Sicilian Defense: Delayed Alapin Variation,-27,-25,23,-10,-17,-11.2
13,2015.05.31,AnthonyJ,HHUK,1500,1758,Caro-Kann Defense,50,47,-135,-26,-6,-14.0
14,2015.05.31,olee,louisrobert,1421,1680,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",-3,-214,-268,-371,-508,-272.8
15,2015.05.31,mabe48b,polof_2,1533,1346,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",-128,-277,-285,-323,67,-189.2
16,2015.05.31,Gorzkowski,jkrue242,1138,1075,Scotch Game,416,-524,-559,-582,-419,-333.6
17,2015.05.31,tropik,Drugon,1827,1915,Sicilian Defense,-2,6,-39,-30,51,-2.8
18,2015.05.31,blabla4u,erichon,1500,1442,Modern Defense,2,8,11,-2,57,15.2
19,2015.05.31,jdefreitas,steve_mcqueen,2107,2100,Caro-Kann Defense: Breyer Variation,129,143,32,494,532,266.0
20,2015.05.31,mym56,jalrivi1952,1746,1672,Modern Defense: Standard Defense,126,165,201,391,198,216.2
21,2015.05.31,satoshi,Luminosity,1829,1860,Slav Defense: Three Knights Variation,61,17,23,5,65,34.2
22,2015.05.31,regulus-eclipse,Kingscrusher-YouTube,2170,2185,Queen's Pawn Game: Zukertort Variation,-7,-265,-279,-141,-91,-156.6
23,2015.05.31,GunganAttack,Singularitus,1802,1809,Semi-Slav Defense: Quiet Variation,-62,-55,-195,-221,-261,-158.8
24,2015.05.31,david_villa,Spoturnovsky,2051,2009,Trompowsky Attack,84,77,125,152,64,100.4
25,2015.05.31,aiadiv,RobertTonoyan,1767,1781,King's Pawn Game: Leonardis Variation,159,159,169,337,446,254.0
26,2015.05.31,Rafael_Federer,sazatol,1416,1618,"French Defense: Classical Variation, Steinitz Variation",-154,-282,-193,-208,-17,-170.8
27,2015.05.31,NMgornys,ZePequeno,1924,1962,Sicilian Defense: Delayed Alapin Variation,-20,-27,33,-11,-13,-7.6
28,2015.05.31,AnthonyJ,HHUK,1500,1758,Caro-Kann Defense,49,77,-125,-25,-5,-5.8
29,2015.05.31,olee,louisrobert,1421,1680,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",-5,-219,-275,-354,-514,-273.4
30,2015.05.31,mabe48b,polof_2,1533,1346,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",-120,-289,-274,-335,66,-190.4
31,2015.05.31,Gorzkowski,jkrue242,1138,1075,Scotch Game,420,-521,-551,-598,-398,-329.6
32,2015.05.31,Koji,PijanaMysz,1789,1804,Nimzo-Larsen Attack: Indian Variation,-140,-50,-69,-51,-128,-87.6
33,2015.05.31,Tony50,r0l3t3,1340,1370,Indian Game: East Indian Defense,-118,-110,-184,127,-75,-72.0
34,2015.05.31,Equimizer,MessyMan,1988,2133,Nimzo-Larsen Attack: English Variation,69,137,157,174,102,127.8
35,2015.05.31,tf235,japastor,1155,1325,"King's Gambit Accepted, Modern Defense",109,205,38,141,312,161.0
36,2015.05.31,bobidgo70,valleeduvent88,1512,1490,"Ruy Lopez: Schliemann Defense, Dyckhoff Variation",360,433,398,501,517,441.8
37,2015.05.31,TURKISH-GIRL,mesti,1323,1345,Ruy Lopez: Berlin Defense #2,-597,-693,-677,-659,-657,-656.6
38,2015.05.31,Judoman,Morten123,1214,1145,Sicilian Defense: Marshall Counterattack,88,105,48,34,152,85.4
39,2015.05.31,Koroner999,kekss5,2193,2226,"Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation",61,44,55,274,312,149.2
40,2015.05.31,linuxer,KTtris,1617,1630,Philidor Defense #2,-29,4,45,73,115,41.6
41,2015.05.31,zulo,zofe,1785,1759,Sicilian Defense: Lasker-Dunne Attack,151,141,169,455,397,262.6
42,2015.05.31,estrellatus,Nitroke93,1221,1351,King's Indian Attack,30,22,51,273,744,224.0
43,2015.05.31,oa,sergi1002,1871,1800,Hungarian Opening: Slav Formation,-370,-413,-458,-463,-472,-435.2
44,2015.05.31,epeyaaak,bishop50,1994,1462,"Sicilian Defense: Najdorf Variation, English Attack",138,65,136,173,232,148.8
45,2015.05.31,jugando90,Ethelberta,1570,1556,"Nimzo-Indian Defense: Classical Variation, Zurich Variation",-76,-69,-87,-47,-56,-67.0
46,2015.05.31,reggae_shark,JoshWink,1720,1653,"Italian Game: Two Knights Defense, Max Lange Attack, Krause Variation",-329,-176,-176,-68,-135,-176.8
47,2015.05.31,ahmedknight,oset,1354,1324,Caro-Kann Defense,208,244,364,561,557,386.8
48,2015.05.31,Pedro1924,jalalshajiei,1689,1686,Queen's Gambit Refused: Marshall Defense,113,108,163,177,192,150.6
49,2015.05.31,Vitamin69,Vasyaka,1922,1875,Queen's Gambit Declined: Exchange Variation,49,39,63,32,32,43.0
50,2015.05.31,aioyuo,matey,1694,1791,French Defense: La Bourdonnais Variation,-84,-107,69,85,59,4.4
51,2015.05.31,poutrelle,corgon,1350,1325,"Caro-Kann Defense: Advance Variation, Short Variation",-304,-300,-110,-170,-443,-265.4
52,2015.05.31,chess-power,Kulkid,1967,1871,Zukertort Opening: Queen's Gambit Invitation,113,45,48,50,88,68.8
53,2015.05.31,yhonsue,SarayaSusain2,1821,1786,Sicilian Defense: Smith-Morra Gambit,-67,-71,-47,-41,59,-33.4
54,2015.05.31,Fuser,peterrock,1486,1567,Pirc Defense #4,-165,-179,-178,-171,-195,-177.6
55,2015.05.31,montav,penpalrdro,1666,1598,Polish Opening,7,-13,142,116,182,86.8
56,2015.05.31,rotcehnebur,mitiaelena,1438,1684,Clemenz Opening,-267,-280,-338,-599,-658,-428.4
57,2015.05.31,chesswilly,k-j,1532,1375,Scandinavian Defense: Mieses-Kotroc Variation,351,397,201,231,260,288.0
58,2015.05.31,iemerge,JaviMtnz,1420,1278,Bird Opening: Dutch Variation,-282,-455,-445,-501,-474,-431.4
59,2015.05.31,spieleRRRrrr,Alrrash,1814,1871,Queen's Gambit Declined: Queen's Knight Variation,-306,-141,-154,-156,-162,-183.8
60,2015.05.31,smyslov22,mleberte,1815,1669,"English Opening: King's English Variation, Reversed Sicilian",540,433,564,589,466,518.4
61,2015.05.31,Topdog646,Martin2020,1430,1279,Queen's Gambit Refused: Marshall Defense,34,23,278,514,523,274.4
62,2015.05.31,KmPeon,Kemich,1561,1878,Alekhine Defense: Normal Variation,103,74,91,187,174,125.8
63,2015.05.31,Goliardo87,qohelet,1261,1222,Ruy Lopez: Berlin Defense #2,-160,40,-82,-245,-194,-128.2
64,2015.05.31,anat_68,daril59,1901,1872,"Benko Gambit Accepted, Modern Variation",79,42,41,44,49,51.0
65,2015.05.31,katehon,ebonyandivory,1511,1631,Pirc Defense: Byrne Variation,-230,-272,-244,-274,-230,-250.0
66,2015.05.31,coquepas,Alkaid,1459,1373,Sicilian Defense: Bowdler Attack,-6,-29,-44,-37,-41,-31.4
67,2015.05.31,rado68399,is-da,1816,1678,Queen's Pawn Game: Chigorin Variation,-47,-209,-253,-178,-225,-182.4
68,2015.05.31,C4blows247,faizaaya,1491,1385,Queen's Pawn Game: Chigorin Variation,26,19,21,-24,27,13.8
69,2015.05.31,dylandog,lwlandry,1431,1426,English Defense #2,-37,234,233,117,132,135.8
70,2015.05.31,Coeurdeciel,Ollecram,1693,1788,"Indian Game: Colle System, King's Indian Variation",-27,-90,-26,-29,-50,-44.4
71,2015.05.31,MM1993,kaishakunin,1532,1418,"Queen's Gambit Accepted: Normal Variation, Traditional System",210,181,159,246,11,161.4
72,2015.05.31,mramor2,tahamtan2000,1762,1867,Horwitz Defense,1,42,47,51,52,38.6
73,2015.05.31,ramiroco,daccio,1639,1872,"Sicilian Defense: Nimzowitsch Variation, Closed Variation",-202,-187,-321,-210,-197,-223.4
74,2015.05.31,MNKarpov,frankkko,1351,1089,"King's Gambit Declined, Queen's Knight Defense",-331,-284,-196,53,165,-118.6
75,2015.05.31,Spahic,brenner,1656,1601,French Defense: La Bourdonnais Variation,1,10,-59,-59,-84,-38.2
76,2015.05.31,plavaptica,nagyapo2002,1474,1503,Pirc Defense #4,-13,-12,-4,-5,-14,-9.6
77,2015.05.31,misha20101958,Recyrillic,1844,1328,Queen's Gambit Declined,-43,-78,-95,-86,-72,-74.8
78,2015.05.31,JasonVoorhees,Hanni-Baal,2144,2142,Sicilian Defense: Smith-Morra Gambit,151,142,109,24,-19,81.4
79,2015.05.31,ontlinre,ragobert,994,1161,Sicilian Defense,-645,-531,-525,-583,-587,-574.2
80,2015.05.31,Sarettasarda,houarit,1193,1018,Van't Kruijs Opening,-200,-196,322,-520,-730,-264.8
81,2015.05.31,Kingscrusher-YouTube,Spoturnovsky,2197,2022,"French Defense: Alekhine-Chatard Attack, Maroczy Variation",-168,-271,154,206,224,29.0
82,2015.05.31,regulus-eclipse,steve_mcqueen,2158,2089,Caro-Kann Defense: Exchange Variation,40,-39,26,71,78,35.2
83,2015.05.31,jdefreitas,ligthcris,2119,1770,Blackmar-Diemer Gambit,44,547,571,562,591,463.0
84,2015.05.31,Orbital_Peanut,BobLoblawsLawBlog,1410,1403,Benoni Defense: King's Pawn Line,203,175,129,170,180,171.4
85,2015.05.31,edoublel,deadlyhappen,1527,1601,Russian Game: Three Knights Game,-2,20,23,164,9,42.8
86,2015.05.31,damonachey,knightf5,1677,1750,Zukertort Opening: Double Fianchetto Attack,32,21,-25,-42,-9,-4.6
87,2015.05.31,red_eagle,toonytoon72,1796,1684,Old Benoni Defense,-572,-558,-522,-520,-529,-540.2
88,2015.05.31,Gabriel_Victor,ypmarquez,1773,1372,Robatsch (Modern) Defense,727,522,399,965,950,712.6
89,2015.05.31,franfran,coolmcs,1814,1738,Vienna Game,176,174,326,426,396,299.6
90,2015.05.31,Miloff,haHAHAhaHA1,1806,2043,Saragossa Opening,9,-179,-194,-100,168,-59.2
91,2015.05.31,SegunOjuri,valerasanitar,1522,1270,Blumenfeld Countergambit #2,100,38,310,207,164,163.8
92,2015.05.31,rica1208,badescuviorel,1782,1830,Italian Game: Schilling-Kostic Gambit,-18,17,5,7,-9,0.4
93,2015.05.31,jdirvin5,obanebane,1326,1538,Rat Defense: Small Center Defense,-26,42,41,19,-18,11.6
94,2015.05.31,traveler18,Chaman,1617,1534,Caro-Kann Defense,15,8,-41,-295,-200,-102.6
95,2015.05.31,pedromorel10,dasuboot,1903,1811,Caro-Kann Defense,39,16,42,33,72,40.4
96,2015.05.31,javiermatos,Torboxer,1504,1655,"Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted",176,215,232,566,596,357.0
97,2015.05.31,Gilitrutt,german11,1908,1076,Bird Opening,-15,-15,-11,-86,23,-20.8
98,2015.05.31,MarioL,PIMPONER10,1778,1813,Old Benoni Defense,393,273,236,400,647,389.8
99,2015.05.31,Anoonymous,westcove,1740,1593,French Defense: Knight Variation,-2,-2,84,116,189,77.0
100,2015.05.31,MonsterNOT,Airon8,1355,1707,Four Knights Game: Scotch Variation Accepted,-368,-358,-366,-361,-336,-357.8
101,2015.05.31,caneca,DOMARBOR,1388,1549,Philidor Defense #3,44,31,112,196,200,116.6
102,2015.05.31,Petro21,zeland34,1783,1814,Bird Opening: Dutch Variation,54,498,-16,-101,-106,65.8
103,2015.05.31,Hyperr,rise_UIED,1198,1650,Italian Game,26,200,182,329,478,243.0
104,2015.05.31,hacialolejos,hellene,1765,1823,"Old Indian Defense: Janowski Variation, Fianchetto Variation #2",43,24,19,22,18,25.2
105,2015.05.31,tsiri55,nima9851,1646,1539,French Defense: Normal Variation,71,69,36,246,241,132.6
106,2015.05.31,randommoron,amurushkin,1903,1652,Horwitz Defense,551,553,555,508,492,531.8
107,2015.05.31,JR1968,calal,1340,1309,"Queen's Pawn Game: Colle System, Anti-Colle",-196,-259,-110,-107,46,-125.2
108,2015.05.31,GandalfTheTW,Singularitus,1733,1796,Caro-Kann Defense,2,2,15,4,-85,-12.4
109,2015.05.31,elgavi,steinar,1521,1630,Sicilian Defense: Smith-Morra Gambit #2,-517,-321,-204,-240,-272,-310.8
110,2015.05.31,BiHeckfy,Regislian,1273,1387,English Opening: Symmetrical Variation,285,286,289,703,-77,297.2
111,2015.05.31,Mkwawa,cptmajormajor,1756,1865,Scandinavian Defense,-7,22,25,25,26,18.2
112,2015.05.31,pogo78,jorgesucks69,1208,1067,Scandinavian Defense,-306,-189,-32,-62,372,-43.4
113,2015.05.31,ramino,elcordobes,1648,1530,French Defense: Advance Variation #4,16,-43,-62,-58,-101,-49.6
114,2015.05.31,lucas2013,Galip012000,1427,1799,Nimzowitsch Defense: Franco-Nimzowitsch Variation,-525,-555,-526,-573,-615,-558.8
115,2015.05.31,Occitan,oa,1920,1871,"English Opening: Symmetrical Variation, Four Knights Variation",177,181,214,230,165,193.4
116,2015.05.31,dappertutto,pendrek,1671,1771,"Sicilian Defense: Alapin Variation, Barmen Defense",38,7,18,53,-145,-5.8
117,2015.05.31,sims86,MaxCoffee,1657,1696,"Englund Gambit Declined, Reversed French",-37,17,13,-113,-86,-41.2
118,2015.05.31,thrift,soke,1773,1622,Sicilian Defense: Najdorf Variation,29,-28,-28,-31,-31,-17.8
119,2015.05.31,NMgornys,ZePequeno,1938,1949,Sicilian Defense: Delayed Alapin Variation,-32,-27,56,-48,-44,-19.0
120,2015.05.31,boberarena,poorstudent,1884,1791,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",21,94,71,27,48,52.2
121,2015.05.31,Dzekicanas,vitalijgoldmann,1738,1786,Queen's Pawn,-125,-324,-345,-414,-493,-340.2
122,2015.05.31,hanyweh,urkave,1387,1236,Horwitz Defense,332,377,444,447,483,416.6
123,2015.05.31,gurb,comrat123,1623,1495,Hungarian Opening,174,-185,120,-252,-246,-77.8
124,2015.05.31,agdani,Hondurass,1516,1607,Ruy Lopez: Classical Variation,62,77,58,33,-6,44.8
125,2015.05.31,Sceccu62,ilcroato,1507,1374,King's Pawn Game: Leonardis Variation,197,529,295,358,626,401.0
126,2015.05.31,NikaruHakamura,DaViiiiiDzZzZ,1737,1865,"French Defense: Winawer Variation, Poisoned Pawn Variation",62,71,29,16,-1,35.4
127,2015.05.31,PijanaMysz,Koji,1792,1800,Sicilian Defense: Smith-Morra Gambit,28,-95,-85,-38,-152,-68.4
128,2015.05.31,gjigjishabani,OBAFGKM,1999,2066,Queen's Pawn Game: Zukertort Variation,-214,-235,-218,-290,-389,-269.2
129,2015.05.31,PPE1,sergi1002,1841,1813,English Opening: Agincourt Defense,190,163,171,73,78,135.0
130,2015.05.31,jfn,MessyMan,1568,2141,Pirc Defense #4,-229,-224,-132,-224,-157,-193.2
131,2015.05.31,samyco,kives,1591,1636,"Sicilian Defense: Modern Variations, Main Line",12,32,-25,-214,-192,-77.4
132,2015.05.31,weversom,AnthonyJ,1231,1850,Sicilian Defense: Bowdler Attack,-444,-436,-446,-441,-742,-501.8
133,2015.05.31,HHUK,Equimizer,1745,1981,Van't Kruijs Opening,23,114,46,95,110,77.6
134,2015.05.31,haader,AreUkidding,1258,979,Pirc Defense,-525,-510,-557,-505,-510,-521.4
135,2015.05.31,lumil,GoMentalGoBloody,1921,1655,Vienna Game: Stanley Variation,221,149,-19,33,-56,65.6
136,2015.05.31,mirumen,Cornedauroch,1630,1589,Ruy Lopez: Berlin Defense #2,263,318,345,347,249,304.4
137,2015.05.31,mohsen041,adinfinitum,1925,1887,Queen's Gambit Accepted,46,32,126,210,267,136.2
138,2015.05.31,JoshWink,reggae_shark,1666,1707,Sicilian Defense: Old Sicilian,190,256,297,154,194,218.2
139,2015.05.31,sansechess,gbsalvio,2011,2013,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",37,43,-68,36,-87,-7.8
140,2015.05.31,swine,sakarel,1511,1564,Blackmar-Diemer Gambit: Gedult Gambit,-46,-38,-36,-23,91,-10.4
141,2015.05.31,dkobra,oxxo34,1901,1793,Sicilian Defense: Accelerated Dragon,-1,124,217,123,115,115.6
142,2015.05.31,Archange2010,lisand,1611,1497,"Queen's Gambit Refused: Chigorin Defense, Modern Gambit",516,560,568,442,427,502.6
143,2015.05.31,HernanCortes1512,el_peon_cito,1425,1415,Sicilian Defense: Marshall Counterattack,-510,-450,-417,-428,-357,-432.4
144,2015.05.31,GunganAttack,erichon,1814,1486,Modern Defense,-10,1,-37,-163,-303,-102.4
145,2015.05.31,hibi,Travianer2,1657,1600,Old Benoni Defense,2,-27,-19,-59,-46,-29.8
146,2015.05.31,RIM,ardool50,1740,1785,French Defense: Steiner Variation,-11,-15,-15,-10,-9,-12.0
147,2015.05.31,abbas_911,sagenwald,1241,1547,Philidor Defense #3,-13,-6,118,-122,0,-4.6
148,2015.05.31,Nitroke93,estrellatus,1335,1239,Alekhine Defense,76,-29,20,-15,-389,-67.4
149,2015.05.31,Ziata,Home1938,1629,1707,Zukertort Opening: Tennison Gambit,14,6,-20,115,146,52.2
150,2015.05.31,sijbcbb,jonafigueroa,1558,1399,Queen's Pawn Game: Chigorin Variation,347,-200,-301,-270,-233,-131.4
151,2015.05.31,korp174,onetwoonetwo,1392,1972,Robatsch (Modern) Defense,-491,-973,-1059,-1149,-1103,-955.0
152,2015.05.31,michalko,Archimboldi,1901,2006,"Italian Game: Giuoco Pianissimo, Normal",25,29,23,26,169,54.4
153,2015.05.31,pskpress,freu01,1514,1502,Nimzowitsch Defense,320,529,540,524,539,490.4
154,2015.05.31,chopin87,corgon,1616,1315,Slav Defense #2,40,509,569,72,21,242.2
155,2015.05.31,valrond,wcasique2000,1319,1475,Modern Defense: Two Knights Variation,-99,-113,-41,-133,-108,-98.8
